Year,SERIES,UNIT_MEASURE,Value
2009,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,27900
2010,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,16730
2011,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,24890
2012,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,38155
2013,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,16630
2014,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,8630
2015,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,8930
2016,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,1730
2017,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,830
2018,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,107015
2019,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,83584
2020,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,114740
2021,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,u KM,220980
