Year,SERIES,UNIT_MEASURE,Spol,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,2.5
2010,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.7
2011,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.8
2012,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,2.8
2013,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.7
2014,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,2.4
2015,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,2.6
2016,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,2.0
2017,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.3
2018,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.6
2019,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.2
2020,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.1
2021,Broj žrtava ubistava s namjerom na 100 000 stanovnika,Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,,,,,,1.1
2009,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,29.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,20.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,21.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,33.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,20.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,28.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,30.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,23.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,15.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,19.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,14.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,13.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Oba spola ili bez podjele po spolu,,,,,,13.0
2009,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,19.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,12.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,15.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,18.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,12.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,19.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,20.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,14.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,8.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,17.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,10.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,9.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Muškarci,,,,,,9.0
2009,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,10.0
2010,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,8.0
2011,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,6.0
2012,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,15.0
2013,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,8.0
2014,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,9.0
2015,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,10.0
2016,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,9.0
2017,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,7.0
2018,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,2.0
2019,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,4.0
2020,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,4.0
2021,Broj žrtava ubistava s predomišljajem,Broj,Žene,,,,,,4.0
