Year,SERIES,UNIT_MEASURE,Pol,Starost,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2009.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2010.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2011.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2012.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2013.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2014.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2015.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2016.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2017.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2018.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2019.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2020.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,1.0
2021.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,Bez podjele,,,,,0.0
2009.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2010.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2011.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,1.0
2012.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,1.0
2013.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2014.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2015.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,1.0
2016.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,1.0
2017.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2018.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2019.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2020.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2021.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 145 KZ RS",,,,,0.0
2009.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2010.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2011.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2012.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2013.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2014.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2015.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2016.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2017.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2018.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2019.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2020.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2021.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina ljudima, član 186 KZ BiH",,,,,0.0
2009.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2010.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2011.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2012.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2013.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2014.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2015.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2016.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2017.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,1.0
2018.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2019.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,1.0
2020.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,1.0
2021.0,Broj krivičnih djela trgovine ljudima,Broj,Oba pola ili bez podjele po polu,,"Trgovina djecom, član 146 KZ RS",,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,2.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,1.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,,,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,1.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Muškarci,Punoljetni,,,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,1.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,2.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,1.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Punoljetni,,,,,,0.0
2009.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2010.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2011.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2012.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2013.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2014.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2015.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2016.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2017.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,1.0
2018.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
2019.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,1.0
2020.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,1.0
2021.0,Broj žrtava krivičnih djela trgovine ljudima prema polu i obliku eksploatacije,Broj,Žene,Maloljetni,,,,,,0.0
