Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,DI_SUSP_TRS,u KM,,,,,,,453000
2010,DI_SUSP_TRS,u KM,,,,,,,728000
2011,DI_SUSP_TRS,u KM,,,,,,,404000
2012,DI_SUSP_TRS,u KM,,,,,,,2900000
2013,DI_SUSP_TRS,u KM,,,,,,,1107058
2014,DI_SUSP_TRS,u KM,,,,,,,2738514
2015,DI_SUSP_TRS,u KM,,,,,,,2563708
2016,DI_SUSP_TRS,u KM,,,,,,,78163647
2017,DI_SUSP_TRS,u KM,,,,,,,5724857
2018,DI_SUSP_TRS,u KM,,,,,,,175957160
2019,DI_SUSP_TRS,u KM,,,,,,,9420753
2020,DI_SUSP_TRS,u KM,,,,,,,8389057
2021,DI_SUSP_TRS,u KM,,,,,,,11783151
2009,DI_SUSP_TRS,Američki dolar,,,,,,,332090
2010,DI_SUSP_TRS,Američki dolar,,,,,,,494309
2011,DI_SUSP_TRS,Američki dolar,,,,,,,267271
2012,DI_SUSP_TRS,Američki dolar,,,,,,,1954705
2013,DI_SUSP_TRS,Američki dolar,,,,,,,780159
2014,DI_SUSP_TRS,Američki dolar,,,,,,,1702619
2015,DI_SUSP_TRS,Američki dolar,,,,,,,1432183
2016,DI_SUSP_TRS,Američki dolar,,,,,,,42126518
2017,DI_SUSP_TRS,Američki dolar,,,,,,,3510438
2018,DI_SUSP_TRS,Američki dolar,,,,,,,103046443
2019,DI_SUSP_TRS,Američki dolar,,,,,,,5389465
2020,DI_SUSP_TRS,Američki dolar,,,,,,,5267636
2021,DI_SUSP_TRS,Američki dolar,,,,,,,6828315
