Year,SERIES,UNIT_MEASURE,Starost,Pol,Value
2000,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,285.0
2001,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,256.0
2002,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,232.0
2003,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,213.0
2004,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,200.0
2005,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,191.0
2006,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,186.0
2007,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,183.0
2008,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,182.0
2009,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,179.0
2010,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,174.0
2011,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,167.0
2012,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,160.0
2013,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,152.0
2014,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,144.0
2015,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,137.0
2016,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,129.0
2017,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,123.0
2018,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,117.0
2019,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,111.0
2020,Neonatalni mortalitet (broj),Broj,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,105.0
2000,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,6.9
2001,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,6.5
2002,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,6.2
2003,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.9
2004,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.7
2005,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.5
2006,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.4
2007,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.3
2008,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.3
2009,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.2
2010,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.1
2011,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,5.0
2012,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.9
2013,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.8
2014,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.7
2015,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.6
2016,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.5
2017,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.4
2018,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.3
2019,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.2
2020,Stopa neonatalnog mortaliteta,Na 1 000 živorođenih,Mlađi od jednog mjeseca,Oba pola ili bez podjele po polu,4.1
