Year,SERIES,UNIT_MEASURE,Value
2009,SH_STA_MALR,Na 1 000 stanovnika,0.0
2010,SH_STA_MALR,Na 1 000 stanovnika,0.00085
2011,SH_STA_MALR,Na 1 000 stanovnika,0.0
2012,SH_STA_MALR,Na 1 000 stanovnika,0.00085
2013,SH_STA_MALR,Na 1 000 stanovnika,0.0
2014,SH_STA_MALR,Na 1 000 stanovnika,0.00086
2015,SH_STA_MALR,Na 1 000 stanovnika,0.0
2016,SH_STA_MALR,Na 1 000 stanovnika,0.0
2017,SH_STA_MALR,Na 1 000 stanovnika,0.0
2018,SH_STA_MALR,Na 1 000 stanovnika,0.0
2019,SH_STA_MALR,Na 1 000 stanovnika,0.0
2020,SH_STA_MALR,Na 1 000 stanovnika,0.0
2021,SH_STA_MALR,Na 1 000 stanovnika,0.0
