Year,SERIES,UNIT_MEASURE,Pol,Value
2000,Broj smrtnih slučajeva samoubistvom,Broj,Oba pola ili bez podjele po polu,339.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Oba pola ili bez podjele po polu,405.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Oba pola ili bez podjele po polu,390.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Oba pola ili bez podjele po polu,367.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Oba pola ili bez podjele po polu,361.0
2000,Broj smrtnih slučajeva samoubistvom,Broj,Žene,76.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Žene,85.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Žene,84.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Žene,81.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Žene,76.0
2000,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,263.0
2005,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,320.0
2010,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,306.0
2015,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,287.0
2019,Broj smrtnih slučajeva samoubistvom,Broj,Muškarci,285.0
2000,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Oba pola ili bez podjele po polu,9.0
2005,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Oba pola ili bez podjele po polu,10.8
2010,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Oba pola ili bez podjele po polu,10.5
2015,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Oba pola ili bez podjele po polu,10.7
2019,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Oba pola ili bez podjele po polu,10.9
2000,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Žene,4.0
2005,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Žene,4.4
2010,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Žene,4.5
2015,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Žene,4.6
2019,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Žene,4.5
2000,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Muškarci,14.3
2005,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Muškarci,17.3
2010,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Muškarci,16.8
2015,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Muškarci,17.0
2019,Stopa smrtnosti usljed samoubistva,Na 100 000 stanovnika,Muškarci,17.6
