Year,SERIES,UNIT_MEASURE,Starost,Pol,Value
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba pola ili bez podjele po polu,6.40991
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba pola ili bez podjele po polu,7.23051
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba pola ili bez podjele po polu,7.3571
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba pola ili bez podjele po polu,7.15682
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Oba pola ili bez podjele po polu,7.81442
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.43374
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.76449
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.81891
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.71533
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Žene,2.96409
2000,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,10.6307
2005,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,11.95169
2010,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,12.14748
2015,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,11.84665
2019,Potrošnja alkohola po stanovniku (starosti od 15 godina i više) u kalendarskoj godini,Litri,15 godina i više,Muškarci,12.94549
