Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2009,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.1
2010,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2011,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2012,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2013,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2014,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2015,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2016,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2017,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2018,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2019,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2020,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.1
2021,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,Y10T14,Žene,0.0
2009,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,16.0
2010,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,13.9
2011,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,12.8
2012,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,13.8
2013,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,11.0
2014,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,10.6
2015,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,9.5
2016,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,10.8
2017,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,9.4
2018,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,7.7
2019,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,8.1
2020,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,8.0
2021,Stopa nataliteta adolescenata (na 1 000 žena starih 15-19 godina),PER_1000_POPFEM_AG,15 do 19 godina,Žene,7.9
