Year,SERIES,UNIT_MEASURE,Godine,Spol,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Value
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,33.2
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,33.6
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,39.2
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,43.3
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,41.3
2020,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,49.3
2021,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Oba spola ili bez podjele po spolu,,,,,,,,,,11.4
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,32.9
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,34.4
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,39.6
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,43.4
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,40.4
2020,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,39.6
2021,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Muškarci,,,,,,,,,,11.8
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,33.5
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,32.8
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,38.8
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,43.2
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,42.3
2020,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,41.0
2021,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y5,Žene,,,,,,,,,,11.0
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,14.9
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,16.7
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,17.6
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,21.4
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,23.2
2020,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,20.0
2021,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Oba spola ili bez podjele po spolu,,,,,,,,,,25.2
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,15.0
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,17.0
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,17.6
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,21.5
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,23.1
2020,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,19.9
2021,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Muškarci,,,,,,,,,,25.0
2015,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Žene,,,,,,,,,,14.7
2016,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Žene,,,,,,,,,,16.5
2017,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Žene,,,,,,,,,,17.5
2018,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Žene,,,,,,,,,,21.2
2019,"Stopa učešća u organiziranom učenju (godinu dana prije službenog osnovnog uzrasta), prema spolu (%)",Procenat,Y0T6,Žene,,,,,,,,,,23.4
