Year,SERIES,UNIT_MEASURE,Pol,Stepen urbanizacije,AGE,Nivo obrazovanja,COMPOSITE_BREAKDOWN,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Value
2014,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,38.7
2015,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,42.9
2016,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,41.1
2017,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,58.9
2018,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,55.5
2019,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,58.8
2020,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,60.8
2021,SE_ADT_ACTSPC,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,57.6
2014,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,38.0
2015,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,43.4
2016,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,42.8
2017,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,64.9
2018,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,71.2
2019,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,72.1
2020,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,72.8
2021,SE_ADT_ACTSI,Procenat,Oba pola ili bez podjele po polu,,,,,,,,,,,,,,80.3
2014,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,39.9
2015,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,48.6
2016,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,46.2
2017,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,69.9
2018,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,73.0
2019,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,73.7
2020,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,75.0
2021,SE_ADT_ACTSI,Procenat,Muškarci,,,,,,,,,,,,,,82.6
