Year,SERIES,UNIT_MEASURE,Stepen urbanizacije,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Value
2011.0,SH_SAN_SAFEHH_BATH,Procenat,Ukupno,,,,,,,,91.1
2011.0,SH_SAN_SAFEHH_BATH,Procenat,Urbano,,,,,,,,98.8
2011.0,SH_SAN_SAFEHH_BATH,Procenat,O,,,,,,,,86.2
2015.0,SH_SAN_SAFEHH_BATH,Procenat,Ukupno,,,,,,,,94.1
2015.0,SH_SAN_SAFEHH_BATH,Procenat,Urbano,,,,,,,,98.7
2015.0,SH_SAN_SAFEHH_BATH,Procenat,O,,,,,,,,91.1
2011.0,SH_SAN_SAFEHH_WC,Procenat,Ukupno,,,,,,,,22.2
2011.0,SH_SAN_SAFEHH_WC,Procenat,Urbano,,,,,,,,27.6
2011.0,SH_SAN_SAFEHH_WC,Procenat,O,,,,,,,,18.7
2015.0,SH_SAN_SAFEHH_WC,Procenat,Ukupno,,,,,,,,88.1
2015.0,SH_SAN_SAFEHH_WC,Procenat,Urbano,,,,,,,,89.9
2015.0,SH_SAN_SAFEHH_WC,Procenat,O,,,,,,,,87.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
