Year,SERIES,UNIT_MEASURE,Starost,COMPOSITE_BREAKDOWN,Value
2009,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,409.0
2010,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,410.0
2011,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,416.0
2012,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,418.0
2013,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,437.0
2014,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,377.0
2015,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,387.0
2016,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,350.0
2017,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,344.0
2018,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,343.0
2019,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,340.0
2020,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,336.0
2021,a. Broj filijala komercijalnih banaka,Broj,,Ukupno banke koje posluju u Republici Srpskoj,337.0
2009,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,347.0
2010,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,355.0
2011,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,360.0
2012,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,367.0
2013,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,387.0
2014,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,328.0
2015,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,336.0
2016,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,298.0
2017,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,293.0
2018,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,292.0
2019,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,288.0
2020,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,284.0
2021,a. Broj filijala komercijalnih banaka,Broj,,Banke Republike Srpske,285.0
2009,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,62.0
2010,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,55.0
2011,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,56.0
2012,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,51.0
2013,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,50.0
2014,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,49.0
2015,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,51.0
2016,a. Broj filijala komercijalnih banaka,Broj,,Banke FBiH u Republici Srpskoj,52.0
