Year,SERIES,UNIT_MEASURE,Spol,Godine,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Value
2009,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,21.4
2010,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,23.6
2011,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,24.5
2012,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,25.6
2013,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,27.0
2014,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,25.7
2015,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,25.2
2016,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,24.8
2017,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,21.0
2018,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,17.2
2019,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,11.7
2020,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,12.9
2021,Stopa nezaposlenosti,Procenat,Oba spola ili bez podjele po spolu,15 godina i više,,,,,,,,,,,,,,14.3
2009,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,20.6
2010,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,22.0
2011,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,23.0
2012,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,23.8
2013,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,25.3
2014,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,23.8
2015,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,23.4
2016,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,21.6
2017,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,18.0
2018,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,16.3
2019,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,9.5
2020,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,12.7
2021,Stopa nezaposlenosti,Procenat,Muškarci,15 godina i više,,,,,,,,,,,,,,12.9
2009,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,22.4
2010,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,25.9
2011,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,26.5
2012,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,28.2
2013,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,29.5
2014,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,28.4
2015,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,27.7
2016,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,29.5
2017,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,25.1
2018,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,18.5
2019,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,14.7
2020,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,13.0
2021,Stopa nezaposlenosti,Procenat,Žene,15 godina i više,,,,,,,,,,,,,,16.3
