Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2009,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,29026
2010,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,30901
2011,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,32488
2012,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,32933
2013,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,31686
2014,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,31554
2015,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,29745
2016,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,28637
2017,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,29451
2018,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,27806
2019,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,25726
2020,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,13543
2021,Obim putnika (putnički kilometri),Hiljade,Bez podjele,,,,,,,,,,,,,,,,,,,15005
2009,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,448
2010,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,402
2011,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,317
2012,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,321
2013,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,211
2014,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,173
2015,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,178
2016,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,160
2017,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,117
2018,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,137
2019,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,160
2020,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,58
2021,Obim putnika (putnički kilometri),Hiljade,Željeznički,,,,,,,,,,,,,,,,,,,60
2009,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,28578
2010,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,30499
2011,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,32171
2012,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,32612
2013,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,31745
2014,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,31381
2015,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,29567
2016,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,28477
2017,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,29334
2018,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,27670
2019,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,25566
2020,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,13485
2021,Obim putnika (putnički kilometri),Hiljade,Cestovni,,,,,,,,,,,,,,,,,,,14945
2009,Obim putnika (putnički kilometri),P_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,477
2010,Obim putnika (putnički kilometri),P_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,474
2011,Obim putnika (putnički kilometri),P_KM_MIL,Bez podjele,,,,,,,,,,,,,,,,,,,480
