Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2009,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,9.3
2010,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.6
2011,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.9
2012,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,7.9
2013,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.7
2014,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,8.7
2015,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,9.7
2016,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,10.8
2017,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.3
2018,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.7
2019,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.8
2020,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,11.2
2021,Dodana vrijednost proizvodnje (konstantni američki dolari iz 2015.) kao udio BDP-a (%),Procenat,Proizvodnja,12.3
