Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Value
2009.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,462.7
2010.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,403.2
2011.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,350.8
2012.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,336.6
2013.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,394.8
2014.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,382.6
2015.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,332.8
2016.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,241.1
2017.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,305.1
2018.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,293.7
2019.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,488.1
2020.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,369.4
2021.0,Istraživači (u ekvivalentu punog radnog vremena) na milion stanovnika,Na milion stanovnika,,,,,,481.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
