Year,Value,UNIT_MEASURE,SERIES
2009,170.4,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2010,205.1,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2011,372.5,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2012,403.6,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2013,165.3,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2014,422.3,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2015,146.5,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2016,84.5,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2017,284.0,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2018,399.1,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2019,398.1,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2020,285.1,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2021,156.6,u milionima КМ,Ukupni tokovi direktnih stranih ulaganja
2009,3550.3,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2010,3710.2,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2011,4025.4,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2012,4209.9,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2013,4867.0,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2014,4621.7,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2015,5162.5,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2016,4977.5,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2017,5122.6,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2018,5362.2,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2019,5524.3,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2020,5498.6,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
2021,5596.4,u milionima КМ,Ukupno stanje direktnih stranih ulaganja na dan 31.12.
