Year,Value,UNIT_MEASURE,SERIES
2009,2.0,Broj,Planinski ekosistemi
2010,2.0,Broj,Planinski ekosistemi
2011,2.0,Broj,Planinski ekosistemi
2012,3.0,Broj,Planinski ekosistemi
2013,4.0,Broj,Planinski ekosistemi
2014,4.0,Broj,Planinski ekosistemi
2015,4.0,Broj,Planinski ekosistemi
2016,4.0,Broj,Planinski ekosistemi
2017,5.0,Broj,Planinski ekosistemi
2018,6.0,Broj,Planinski ekosistemi
2019,6.0,Broj,Planinski ekosistemi
2020,7.0,Broj,Planinski ekosistemi
2021,9.0,Broj,Planinski ekosistemi
2009,19959.88,Površina u hektarima,Planinski ekosistemi
2010,19959.88,Površina u hektarima,Planinski ekosistemi
2011,19959.88,Površina u hektarima,Planinski ekosistemi
2012,20254.88,Površina u hektarima,Planinski ekosistemi
2013,20552.7,Površina u hektarima,Planinski ekosistemi
2014,20552.7,Površina u hektarima,Planinski ekosistemi
2015,20552.7,Površina u hektarima,Planinski ekosistemi
2016,20552.7,Površina u hektarima,Planinski ekosistemi
2017,26868.02,Površina u hektarima,Planinski ekosistemi
2018,27198.77,Površina u hektarima,Planinski ekosistemi
2019,27198.77,Površina u hektarima,Planinski ekosistemi
2020,43914.61,Površina u hektarima,Planinski ekosistemi
2021,48114.47,Površina u hektarima,Planinski ekosistemi
