Year,Value,UNIT_MEASURE,SERIES
2009,27900,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2010,16730,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2011,24890,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2012,38155,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2013,16630,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2014,8630,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2015,8930,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2016,1730,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2017,830,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2018,107015,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2019,83584,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2020,114740,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
2021,220980,u KM,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema
