Year,Value,UNIT_MEASURE,SERIES
2009,1.4,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2010,1.5,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2011,1.4,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2012,1.4,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2013,1.5,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2014,1.3,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2015,1.4,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2016,1.5,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2017,1.6,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2018,1.7,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2019,1.7,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2020,1.0,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
2021,1.3,Procenat,"Učešće područja „Djelatnost pružanja smještaja, pripreme i posluživanja hrane; hotelijerstvo i ugostiteljstvo” u ukupnom BDP-u, tekuće cijene"
