Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2009.0,SI_COV_SOCUSALL,PT,_T,_T,3.1
2010.0,SI_COV_SOCUSALL,PT,_T,_T,3.2
2011.0,SI_COV_SOCUSALL,PT,_T,_T,3.1
2012.0,SI_COV_SOCUSALL,PT,_T,_T,3.5
2013.0,SI_COV_SOCUSALL,PT,_T,_T,3.5
2014.0,SI_COV_SOCUSALL,PT,_T,_T,4.2
2015.0,SI_COV_SOCUSALL,PT,_T,_T,3.6
2016.0,SI_COV_SOCUSALL,PT,_T,_T,3.8
2017.0,SI_COV_SOCUSALL,PT,_T,_T,3.7
2018.0,SI_COV_SOCUSALL,PT,_T,_T,4.3
2019.0,SI_COV_SOCUSALL,PT,_T,_T,4.3
2020.0,SI_COV_SOCUSALL,PT,_T,_T,4.5
2021.0,SI_COV_SOCUSALL,PT,_T,_T,4.6
2009.0,SI_COV_SOCUSALL,NUMBER,_T,_T,36917.0
2010.0,SI_COV_SOCUSALL,NUMBER,_T,_T,37178.0
2011.0,SI_COV_SOCUSALL,NUMBER,_T,_T,36323.0
2012.0,SI_COV_SOCUSALL,NUMBER,_T,_T,41157.0
2013.0,SI_COV_SOCUSALL,NUMBER,_T,_T,41212.0
2014.0,SI_COV_SOCUSALL,NUMBER,_T,_T,49147.0
2015.0,SI_COV_SOCUSALL,NUMBER,_T,_T,41410.0
2016.0,SI_COV_SOCUSALL,NUMBER,_T,_T,43582.0
2017.0,SI_COV_SOCUSALL,NUMBER,_T,_T,43062.0
2018.0,SI_COV_SOCUSALL,NUMBER,_T,_T,48921.0
2019.0,SI_COV_SOCUSALL,NUMBER,_T,_T,49252.0
2020.0,SI_COV_SOCUSALL,NUMBER,_T,_T,50652.0
2021.0,SI_COV_SOCUSALL,NUMBER,_T,_T,52068.0
2012.0,SI_COV_SOCUSSA,NUMBER,M,_T,18712.0
2013.0,SI_COV_SOCUSSA,NUMBER,M,_T,19143.0
2014.0,SI_COV_SOCUSSA,NUMBER,M,_T,23658.0
2015.0,SI_COV_SOCUSSA,NUMBER,M,_T,18963.0
2016.0,SI_COV_SOCUSSA,NUMBER,M,_T,19926.0
2017.0,SI_COV_SOCUSSA,NUMBER,M,_T,19812.0
2018.0,SI_COV_SOCUSSA,NUMBER,M,_T,23658.0
2019.0,SI_COV_SOCUSSA,NUMBER,M,_T,23293.0
2020.0,SI_COV_SOCUSSA,NUMBER,M,_T,23661.0
2021.0,SI_COV_SOCUSSA,NUMBER,M,_T,24954.0
2012.0,SI_COV_SOCUSSA,NUMBER,M,_M,2811.0
2013.0,SI_COV_SOCUSSA,NUMBER,M,_M,2812.0
2014.0,SI_COV_SOCUSSA,NUMBER,M,_M,2653.0
2015.0,SI_COV_SOCUSSA,NUMBER,M,_M,1586.0
2016.0,SI_COV_SOCUSSA,NUMBER,M,_M,1797.0
2017.0,SI_COV_SOCUSSA,NUMBER,M,_M,2065.0
2018.0,SI_COV_SOCUSSA,NUMBER,M,_M,2430.0
2019.0,SI_COV_SOCUSSA,NUMBER,M,_M,2564.0
2020.0,SI_COV_SOCUSSA,NUMBER,M,_M,2754.0
2021.0,SI_COV_SOCUSSA,NUMBER,M,_M,2986.0
2012.0,SI_COV_SOCUSSA,NUMBER,M,_A,15901.0
2013.0,SI_COV_SOCUSSA,NUMBER,M,_A,16331.0
2014.0,SI_COV_SOCUSSA,NUMBER,M,_A,21005.0
2015.0,SI_COV_SOCUSSA,NUMBER,M,_A,17377.0
2016.0,SI_COV_SOCUSSA,NUMBER,M,_A,18129.0
2017.0,SI_COV_SOCUSSA,NUMBER,M,_A,17747.0
2018.0,SI_COV_SOCUSSA,NUMBER,M,_A,21228.0
2019.0,SI_COV_SOCUSSA,NUMBER,M,_A,20729.0
2020.0,SI_COV_SOCUSSA,NUMBER,M,_A,20907.0
2021.0,SI_COV_SOCUSSA,NUMBER,M,_A,21968.0
2012.0,SI_COV_SOCUSSA,NUMBER,F,_T,22445.0
2013.0,SI_COV_SOCUSSA,NUMBER,F,_T,22069.0
2014.0,SI_COV_SOCUSSA,NUMBER,F,_T,25489.0
2015.0,SI_COV_SOCUSSA,NUMBER,F,_T,22447.0
2016.0,SI_COV_SOCUSSA,NUMBER,F,_T,23656.0
2017.0,SI_COV_SOCUSSA,NUMBER,F,_T,23250.0
2018.0,SI_COV_SOCUSSA,NUMBER,F,_T,25263.0
2019.0,SI_COV_SOCUSSA,NUMBER,F,_T,25959.0
2020.0,SI_COV_SOCUSSA,NUMBER,F,_T,26991.0
2021.0,SI_COV_SOCUSSA,NUMBER,F,_T,27114.0
2012.0,SI_COV_SOCUSSA,NUMBER,F,_M,2289.0
2013.0,SI_COV_SOCUSSA,NUMBER,F,_M,2830.0
2014.0,SI_COV_SOCUSSA,NUMBER,F,_M,2557.0
2015.0,SI_COV_SOCUSSA,NUMBER,F,_M,1339.0
2016.0,SI_COV_SOCUSSA,NUMBER,F,_M,1366.0
2017.0,SI_COV_SOCUSSA,NUMBER,F,_M,1876.0
2018.0,SI_COV_SOCUSSA,NUMBER,F,_M,2608.0
2019.0,SI_COV_SOCUSSA,NUMBER,F,_M,1790.0
2020.0,SI_COV_SOCUSSA,NUMBER,F,_M,1978.0
2021.0,SI_COV_SOCUSSA,NUMBER,F,_M,2050.0
2012.0,SI_COV_SOCUSSA,NUMBER,F,_A,20156.0
2013.0,SI_COV_SOCUSSA,NUMBER,F,_A,19239.0
