Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2009.0,DC_ODA_BDPE,CUR_LCU,,,,,27900.0
2010.0,DC_ODA_BDPE,CUR_LCU,,,,,16730.0
2011.0,DC_ODA_BDPE,CUR_LCU,,,,,24890.0
2012.0,DC_ODA_BDPE,CUR_LCU,,,,,38155.0
2013.0,DC_ODA_BDPE,CUR_LCU,,,,,16630.0
2014.0,DC_ODA_BDPE,CUR_LCU,,,,,8630.0
2015.0,DC_ODA_BDPE,CUR_LCU,,,,,8930.0
2016.0,DC_ODA_BDPE,CUR_LCU,,,,,1730.0
2017.0,DC_ODA_BDPE,CUR_LCU,,,,,830.0
2018.0,DC_ODA_BDPE,CUR_LCU,,,,,107015.0
2019.0,DC_ODA_BDPE,CUR_LCU,,,,,83584.0
2020.0,DC_ODA_BDPE,CUR_LCU,,,,,114740.0
2021.0,DC_ODA_BDPE,CUR_LCU,,,,,220980.0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
