Year,SERIES,UNIT_MEASURE,SEX,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Value
2009,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,2.5
2010,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.7
2011,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.8
2012,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,2.8
2013,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.7
2014,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,2.4
2015,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,2.6
2016,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,2.0
2017,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.3
2018,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.6
2019,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.2
2020,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.1
2021,VC_IHR_PSRC,PER_100000_POP,_T,,,,,,1.1
2009,VC_IHR_PSRCN,NUMBER,_T,,,,,,29.0
2010,VC_IHR_PSRCN,NUMBER,_T,,,,,,20.0
2011,VC_IHR_PSRCN,NUMBER,_T,,,,,,21.0
2012,VC_IHR_PSRCN,NUMBER,_T,,,,,,33.0
2013,VC_IHR_PSRCN,NUMBER,_T,,,,,,20.0
2014,VC_IHR_PSRCN,NUMBER,_T,,,,,,28.0
2015,VC_IHR_PSRCN,NUMBER,_T,,,,,,30.0
2016,VC_IHR_PSRCN,NUMBER,_T,,,,,,23.0
2017,VC_IHR_PSRCN,NUMBER,_T,,,,,,15.0
2018,VC_IHR_PSRCN,NUMBER,_T,,,,,,19.0
2019,VC_IHR_PSRCN,NUMBER,_T,,,,,,14.0
2020,VC_IHR_PSRCN,NUMBER,_T,,,,,,13.0
2021,VC_IHR_PSRCN,NUMBER,_T,,,,,,13.0
2009,VC_IHR_PSRCN,NUMBER,M,,,,,,19.0
2010,VC_IHR_PSRCN,NUMBER,M,,,,,,12.0
2011,VC_IHR_PSRCN,NUMBER,M,,,,,,15.0
2012,VC_IHR_PSRCN,NUMBER,M,,,,,,18.0
2013,VC_IHR_PSRCN,NUMBER,M,,,,,,12.0
2014,VC_IHR_PSRCN,NUMBER,M,,,,,,19.0
2015,VC_IHR_PSRCN,NUMBER,M,,,,,,20.0
2016,VC_IHR_PSRCN,NUMBER,M,,,,,,14.0
2017,VC_IHR_PSRCN,NUMBER,M,,,,,,8.0
2018,VC_IHR_PSRCN,NUMBER,M,,,,,,17.0
2019,VC_IHR_PSRCN,NUMBER,M,,,,,,10.0
2020,VC_IHR_PSRCN,NUMBER,M,,,,,,9.0
2021,VC_IHR_PSRCN,NUMBER,M,,,,,,9.0
2009,VC_IHR_PSRCN,NUMBER,F,,,,,,10.0
2010,VC_IHR_PSRCN,NUMBER,F,,,,,,8.0
2011,VC_IHR_PSRCN,NUMBER,F,,,,,,6.0
2012,VC_IHR_PSRCN,NUMBER,F,,,,,,15.0
2013,VC_IHR_PSRCN,NUMBER,F,,,,,,8.0
2014,VC_IHR_PSRCN,NUMBER,F,,,,,,9.0
2015,VC_IHR_PSRCN,NUMBER,F,,,,,,10.0
2016,VC_IHR_PSRCN,NUMBER,F,,,,,,9.0
2017,VC_IHR_PSRCN,NUMBER,F,,,,,,7.0
2018,VC_IHR_PSRCN,NUMBER,F,,,,,,2.0
2019,VC_IHR_PSRCN,NUMBER,F,,,,,,4.0
2020,VC_IHR_PSRCN,NUMBER,F,,,,,,4.0
2021,VC_IHR_PSRCN,NUMBER,F,,,,,,4.0
