Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2009,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,3.8
2010,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,2.9
2011,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,3.6
2012,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,2.9
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,2.7
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,2.2
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,1.9
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,1.9
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,2.1
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,1.1
2019,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,1.4
2020,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,3.6
2021,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,M0,_T,1.2
