Year,SERIES,UNIT_MEASURE,AGE,SEX,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Value
2009,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.3
2010,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.3
2011,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.4
2012,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.6
2013,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.6
2014,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.1
2015,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.5
2016,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.5
2017,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.5
2018,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.4
2019,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.4
2020,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,0.3
2021,SH_HIV_INCDA,PER_100000_POP,_T,_T,,,,,,,,,,,1.4
2009,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,4.0
2010,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,4.0
2011,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,5.0
2012,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,8.0
2013,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,8.0
2014,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,2.0
2015,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,7.0
2016,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,7.0
2017,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,7.0
2018,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,5.0
2019,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,5.0
2020,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,NUMBER,_T,_T,,,,,,,,,,,16.0
2009,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,4.0
2010,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,4.0
2011,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,5.0
2012,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,8.0
2013,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,6.0
2014,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,2.0
2015,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,6.0
2016,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,6.0
2017,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,6.0
2018,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,3.0
2019,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,4.0
2020,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,3.0
2021,SH_HIV_INCDAS,NUMBER,_T,M,,,,,,,,,,,14.0
2009,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,2.0
2014,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,1.0
2018,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,2.0
2019,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,1.0
2020,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,0.0
2021,SH_HIV_INCDAS,NUMBER,_T,F,,,,,,,,,,,2.0
2009,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,1.0
2009,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2009,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,0.0
2009,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,2.0
2009,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2009,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,2.0
2010,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,2.0
2010,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2010,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,2.0
2011,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,1.0
2011,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2011,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,3.0
2012,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,3.0
2012,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,2.0
2012,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2012,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,2.0
2013,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,5.0
2013,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,1.0
2013,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2013,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,1.0
2014,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2014,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,0.0
2014,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2015,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2015,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,1.0
2015,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,5.0
2016,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,NUMBER,Y50T59,_T,,,,,,,,,,,0.0
2016,SH_HIV_INCDAS,NUMBER,Y60T69,_T,,,,,,,,,,,1.0
2016,SH_HIV_INCDAS,NUMBER,_U,_T,,,,,,,,,,,5.0
2017,SH_HIV_INCDAS,NUMBER,Y20T29,_T,,,,,,,,,,,1.0
2017,SH_HIV_INCDAS,NUMBER,Y30T39,_T,,,,,,,,,,,2.0
2017,SH_HIV_INCDAS,NUMBER,Y40T49,_T,,,,,,,,,,,3.0
