Year,SERIES,UNIT_MEASURE,SEX,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2009,SH_STA_SCIDEN,NUMBER,_T,,,,258.0
2010,SH_STA_SCIDEN,NUMBER,_T,,,,230.0
2011,SH_STA_SCIDEN,NUMBER,_T,,,,282.0
2012,SH_STA_SCIDEN,NUMBER,_T,,,,227.0
2013,SH_STA_SCIDEN,NUMBER,_T,,,,190.0
2014,SH_STA_SCIDEN,NUMBER,_T,,,,207.0
2015,SH_STA_SCIDEN,NUMBER,_T,,,,218.0
2016,SH_STA_SCIDEN,NUMBER,_T,,,,205.0
2017,SH_STA_SCIDEN,NUMBER,_T,,,,180.0
2018,SH_STA_SCIDEN,NUMBER,_T,,,,164.0
2019,SH_STA_SCIDEN,NUMBER,_T,,,,173.0
2020,SH_STA_SCIDEN,NUMBER,_T,,,,185.0
2021,SH_STA_SCIDEN,NUMBER,_T,,,,194.0
2009,SH_STA_SCIDEN,NUMBER,M,,,,178.0
2010,SH_STA_SCIDEN,NUMBER,M,,,,184.0
2011,SH_STA_SCIDEN,NUMBER,M,,,,212.0
2012,SH_STA_SCIDEN,NUMBER,M,,,,174.0
2013,SH_STA_SCIDEN,NUMBER,M,,,,142.0
2014,SH_STA_SCIDEN,NUMBER,M,,,,156.0
2015,SH_STA_SCIDEN,NUMBER,M,,,,167.0
2016,SH_STA_SCIDEN,NUMBER,M,,,,157.0
2017,SH_STA_SCIDEN,NUMBER,M,,,,140.0
2018,SH_STA_SCIDEN,NUMBER,M,,,,120.0
2019,SH_STA_SCIDEN,NUMBER,M,,,,137.0
2020,SH_STA_SCIDEN,NUMBER,M,,,,144.0
2021,SH_STA_SCIDEN,NUMBER,M,,,,140.0
2009,SH_STA_SCIDEN,NUMBER,F,,,,80.0
2010,SH_STA_SCIDEN,NUMBER,F,,,,46.0
2011,SH_STA_SCIDEN,NUMBER,F,,,,70.0
2012,SH_STA_SCIDEN,NUMBER,F,,,,53.0
2013,SH_STA_SCIDEN,NUMBER,F,,,,48.0
2014,SH_STA_SCIDEN,NUMBER,F,,,,51.0
2015,SH_STA_SCIDEN,NUMBER,F,,,,51.0
2016,SH_STA_SCIDEN,NUMBER,F,,,,48.0
2017,SH_STA_SCIDEN,NUMBER,F,,,,40.0
2018,SH_STA_SCIDEN,NUMBER,F,,,,44.0
2019,SH_STA_SCIDEN,NUMBER,F,,,,36.0
2020,SH_STA_SCIDEN,NUMBER,F,,,,41.0
2021,SH_STA_SCIDEN,NUMBER,F,,,,54.0
2009,SH_STA_SCIDE,PER_100000_POP,_T,,,,21.9
2010,SH_STA_SCIDE,PER_100000_POP,_T,,,,19.6
2011,SH_STA_SCIDE,PER_100000_POP,_T,,,,24.0
2012,SH_STA_SCIDE,PER_100000_POP,_T,,,,19.3
2013,SH_STA_SCIDE,PER_100000_POP,_T,,,,16.2
2014,SH_STA_SCIDE,PER_100000_POP,_T,,,,17.7
2015,SH_STA_SCIDE,PER_100000_POP,_T,,,,18.8
2016,SH_STA_SCIDE,PER_100000_POP,_T,,,,17.7
2017,SH_STA_SCIDE,PER_100000_POP,_T,,,,15.6
2018,SH_STA_SCIDE,PER_100000_POP,_T,,,,14.3
2019,SH_STA_SCIDE,PER_100000_POP,_T,,,,15.1
2020,SH_STA_SCIDE,PER_100000_POP,_T,,,,16.3
2021,SH_STA_SCIDE,PER_100000_POP,_T,,,,17.2
2009,SH_STA_SCIDE,PER_100000_POP,M,,,,30.9
2010,SH_STA_SCIDE,PER_100000_POP,M,,,,32.0
2011,SH_STA_SCIDE,PER_100000_POP,M,,,,36.9
2012,SH_STA_SCIDE,PER_100000_POP,M,,,,30.3
2013,SH_STA_SCIDE,PER_100000_POP,M,,,,24.8
2014,SH_STA_SCIDE,PER_100000_POP,M,,,,27.4
2015,SH_STA_SCIDE,PER_100000_POP,M,,,,29.4
2016,SH_STA_SCIDE,PER_100000_POP,M,,,,27.8
2017,SH_STA_SCIDE,PER_100000_POP,M,,,,24.9
2018,SH_STA_SCIDE,PER_100000_POP,M,,,,21.4
2019,SH_STA_SCIDE,PER_100000_POP,M,,,,24.5
2020,SH_STA_SCIDE,PER_100000_POP,M,,,,25.8
2021,SH_STA_SCIDE,PER_100000_POP,M,,,,25.2
2009,SH_STA_SCIDE,PER_100000_POP,F,,,,13.3
2010,SH_STA_SCIDE,PER_100000_POP,F,,,,7.7
2011,SH_STA_SCIDE,PER_100000_POP,F,,,,11.7
2012,SH_STA_SCIDE,PER_100000_POP,F,,,,8.8
2013,SH_STA_SCIDE,PER_100000_POP,F,,,,8.0
2014,SH_STA_SCIDE,PER_100000_POP,F,,,,8.5
2015,SH_STA_SCIDE,PER_100000_POP,F,,,,8.6
2016,SH_STA_SCIDE,PER_100000_POP,F,,,,8.1
2017,SH_STA_SCIDE,PER_100000_POP,F,,,,6.8
2018,SH_STA_SCIDE,PER_100000_POP,F,,,,7.5
2019,SH_STA_SCIDE,PER_100000_POP,F,,,,6.2
2020,SH_STA_SCIDE,PER_100000_POP,F,,,,7.1
2021,SH_STA_SCIDE,PER_100000_POP,F,,,,9.4
