Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,ST_TUR_EMP,NUMBER,_T,12106
2017,ST_TUR_EMP,NUMBER,_T,12879
2018,ST_TUR_EMP,NUMBER,_T,13341
2019,ST_TUR_EMP,NUMBER,_T,13742
2020,ST_TUR_EMP,NUMBER,_T,13523
2021,ST_TUR_EMP,NUMBER,_T,13125
2022,ST_TUR_EMP,NUMBER,_T,13182
2023,ST_TUR_EMP,NUMBER,_T,13414
2016,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2185
2017,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2339
2018,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2516
2019,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2732
2020,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2652
2021,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2430
2022,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2575
2023,ST_TUR_EMP,NUMBER,TUR_EMP_ACC,2549
2016,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,9921
2017,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10540
2018,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10825
2019,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,11010
2020,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10871
2021,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10695
2022,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10607
2023,ST_TUR_EMP,NUMBER,TUR_EMP_FCA,10865
