Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2009,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,29026
2010,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,30901
2011,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,32488
2012,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,32933
2013,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,31686
2014,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,31554
2015,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,29745
2016,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,28637
2017,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,29451
2018,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,27806
2019,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,25726
2020,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,13543
2021,IS_RDP_PFVOL,THOUSANDS,_T,,,,,,,,,,,,,,,,,,,15005
2009,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,448
2010,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,402
2011,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,317
2012,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,321
2013,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,211
2014,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,173
2015,IS_RDP_PFVOL,THOUSANDS,MOT_RAI,,,,,,,,,,,,,,,,,,,178
