Year,SERIES,UNIT_MEASURE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Value
2009.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,462.7
2010.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,403.2
2011.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,350.8
2012.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,336.6
2013.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,394.8
2014.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,382.6
2015.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,332.8
2016.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,241.1
2017.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,305.1
2018.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,293.7
2019.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,488.1
2020.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,369.4
2021.0,GB_POP_SCIERD,PER_1000000_POP,,,,,,481.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
