Year,Value,UNIT_MEASURE,SERIES
2009.0,462.7,PER_1000000_POP,GB_POP_SCIERD
2010.0,403.2,PER_1000000_POP,GB_POP_SCIERD
2011.0,350.8,PER_1000000_POP,GB_POP_SCIERD
2012.0,336.6,PER_1000000_POP,GB_POP_SCIERD
2013.0,394.8,PER_1000000_POP,GB_POP_SCIERD
2014.0,382.6,PER_1000000_POP,GB_POP_SCIERD
2015.0,332.8,PER_1000000_POP,GB_POP_SCIERD
2016.0,241.1,PER_1000000_POP,GB_POP_SCIERD
2017.0,305.1,PER_1000000_POP,GB_POP_SCIERD
2018.0,293.7,PER_1000000_POP,GB_POP_SCIERD
2019.0,488.1,PER_1000000_POP,GB_POP_SCIERD
2020.0,369.4,PER_1000000_POP,GB_POP_SCIERD
2021.0,481.7,PER_1000000_POP,GB_POP_SCIERD
,,,
,,,
,,,
,,,
,,,
,,,
,,,
