Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,Без пођеле,9,5
INDUSTRIES,Industries,Industrije,Индустрије,5,3
ISIC4_A,"Agriculture, forestry and fishing","Poljoprivreda, šumarstvo i ribolov","Пољопривреда, шумарство и риболов",5,3
ISIC4_A01_A0210_A0322,Agriculture (ISIC4 A01 A0210 A0322),Poljoprivreda (ISIC4 A01 A0210 A0322),Пољопривреда (ISIC4 A01 A0210 A0322),1,1
ISIC4_B,Mining and quarrying,Vađenja ruda i kamena,Вађења руда и камена,1,1
ISIC4_C,Manufacturing,Proizvodnja,Производња,7,5
ISIC4_C10T32X19,Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Proizvodnja isklj. koksa i rafiniranih naftnih derivata te popravak i ugradnja strojeva i opreme,Производња искљ. кокса и рафинираних нафтних деривата те поправак и уградња стројева и опреме,1,1
ISIC4_D,"Electricity, gas, steam and air conditioning supply","Proizvodnja i snadbijevanje električnom energijom, plinom, parom i klimatizacija","Производња и снадбијевање електричном енергијом, плином, паром и климатизација",1,1
ISIC4_F,Construction,Građevinarstvo,Грађевинарство,1,1
ISIC4_GTT,Services (G to T),Usluge (G do T),Услуге (Г до Т),2,2
ISIC4_T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Aktivnosti domaćinstava kao poslodavaca; nediferencirane djelatnosti proizvodnje dobara i usluga domaćinstava za vlastite potrebe,Активности домаћинстава као послодаваца; недиференциране дjелатности домаћинстава за производњу добара и услуга за сопствене потребе,1,1
NONAGR,Non-agriculture,Nepoljoprivredna,Непољопривредна,3,1
PRIV_HH,Private households,Privatna domaćinstva,Приватна домаћинства,1,1
SERV_HH,"Services, and activities by households",Usluge i aktivnosti domaćinstava,Услуге и активности домаћинстава,1,1
SERVICES,Services,Usluge,Услуге,1,1
