Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
>15Y,>15Y,>15Y,>15Y,1,1
>18Y,>18Y,>18Y,>18Y,1,1
_A,_A,_A,_A,4,2
_M,_M,_M,_M,3,2
_OWCH,_OWCH,_OWCH,_OWCH,24,1
_T,_T,_T,_T,41,4
_U,_U,_U,_U,1,1
M0,M0,M0,M0,1,1
Y0T35,Y0T35,Y0T35,Y0T35,1,1
Y0T4,Y0T4,Y0T4,Y0T4,4,3
Y0T6,Y0T6,Y0T6,Y0T6,3,1
Y10T14,Y10T14,Y10T14,Y10T14,1,1
Y13T15,Y13T15,Y13T15,Y13T15,1,1
Y15T19,Y15T19,Y15T19,Y15T19,1,1
Y15T24,Y15T24,Y15T24,Y15T24,3,1
Y15T49,Y15T49,Y15T49,Y15T49,3,2
Y15T64,Y15T64,Y15T64,Y15T64,3,1
Y16T24,Y16T24,Y16T24,Y16T24,1,1
Y20T29,Y20T29,Y20T29,Y20T29,1,1
Y25T34,Y25T34,Y25T34,Y25T34,1,1
Y25T49,Y25T49,Y25T49,Y25T49,3,1
Y30T39,Y30T39,Y30T39,Y30T39,1,1
Y35T44,Y35T44,Y35T44,Y35T44,1,1
Y35T45,Y35T45,Y35T45,Y35T45,1,1
Y35T46,Y35T46,Y35T46,Y35T46,1,1
Y35T47,Y35T47,Y35T47,Y35T47,1,1
Y35T48,Y35T48,Y35T48,Y35T48,1,1
Y35T49,Y35T49,Y35T49,Y35T49,1,1
Y35T50,Y35T50,Y35T50,Y35T50,1,1
Y35T51,Y35T51,Y35T51,Y35T51,1,1
Y36T45,Y36T45,Y36T45,Y36T45,1,1
Y40T49,Y40T49,Y40T49,Y40T49,1,1
Y45T54,Y45T54,Y45T54,Y45T54,1,1
Y46T55,Y46T55,Y46T55,Y46T55,1,1
Y4T6,Y4T6,Y4T6,Y4T6,1,1
Y5,Y5,Y5,Y5,3,1
Y50T59,Y50T59,Y50T59,Y50T59,1,1
Y50T64,Y50T64,Y50T64,Y50T64,3,1
Y55T64,Y55T64,Y55T64,Y55T64,1,1
Y56T65,Y56T65,Y56T65,Y56T65,1,1
Y60T69,Y60T69,Y60T69,Y60T69,1,1
Y65T74,Y65T74,Y65T74,Y65T74,1,1
Y_GE15,Y_GE15,Y_GE15,Y_GE15,12,3
Y_GE18,Y_GE18,Y_GE18,Y_GE18,6,1
Y_GE65,Y_GE65,Y_GE65,Y_GE65,4,2
