Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,Без подјеле,7,4
BNK_FBIHURS,Banks of FBiH in Republika Srpska,Banke FBiH u Republici Srpskoj,Банке ФБиХ у Републици Српској,6,1
BNK_RS,Banks of Republika Srpska,Banke Republike Srpske,Банке Републике Српске,6,1
BNK_T,"Banks operating in Republika Srpska, total",Ukupno banke koje posluju u Republici Srpskoj,Укупно банке које послују у Републици Српској,6,1
BOSNA,Bosna River,Bosna,Босна,3,1
CHDEV_DOMAIN_00,Early childhood development index,Indeks ranog rasta i razvoja djece,Индекс раног раста и развоја дјеце,1,1
CHDEV_DOMAIN_01,Learning,Učenje,Учење,1,1
CHDEV_DOMAIN_02,Social and emotional development,Socijalno-emocionalni razvoj,Социјално-емоционални развој,1,1
CHDEV_DOMAIN_03,Physical development,Fizički razvoj,Физички развој,1,1
CHDEV_DOMAIN_04,Literacy/numeracy,Pismenost/poznavanje brojeva,Писменост/познавање бројева,1,1
DRINA,Drina River,Drina,Дрина,3,1
EMPS_ICT_00,Students,Studenti,Студенти,1,1
EMPS_ICT_01,Employed persons,Zaposleni,Запослени,1,1
EMPS_ICT_02,Unemployed persons,Nezaposleni,Незапослени,1,1
EMPS_ICT_03,Other,Ostalo,Остало,1,1
MOT_RAI,Railway transport,Željeznički saobraćaj,Жељезнички саобраћај,4,1
MOT_ROA,Road and urban transport,Drumski i gradski saobraćaj,Друмски и градски саобраћај,4,1
NERETVA,Neretva River,Neretva,Неретва,3,1
RD_SECBUS,Business,Poslovni,Пословни,1,1
RD_SECGOV,Government,Državni,Државни,1,1
RD_SECHEDU,Higher education,Visoko obrazovanje,Високо образовање,1,1
RD_SECNPT,Non-profit,Neprofitni,Непрофитни,1,1
RSK_LST_01,Invertebrates (Inverttebratae),Beskičmenjaci (Inverttebratae),Бескичмењаци (Inverttebratae),1,1
RSK_LST_02,Reptiles (Reptiles),Gmizavci (Reptiles),Гмизавци (Reptiles),1,1
RSK_LST_03,Amphibians (Amphibia),Vodozemci (Amphibia),Водоземци (Amphibia),1,1
RSK_LST_04,Mammals (Mammals),Sisari (Mammals),Сисари (Mammals),1,1
RSK_LST_05,Fish (Pisces),Ribe (Pisces),Рибе (Pisces),1,1
RSK_LST_06,Birds (Aves),Ptice (Aves),Птице (Aves),1,1
RSK_LST_07,Vascular plants (Planate),Vaskularna flora (Planate),Васкуларна флора (Planate),1,1
SAVA,Sava River,Sava,Сава,3,1
TREBISNJICA,Trebišnjica River,Trebišnjica,Требишњица,3,1
TUR_EMP_ACC,Accommodation,Smještaj,Смјештај,1,1
TUR_EMP_FCA,Food service activities,Djelatnost pripreme i posluživanja hrane i pića,Дјелатност припреме и послуживања хране и пића,1,1
TX_CEFTA,CEFTA countries,CEFTA,ЦЕФТА,2,1
TX_EFTA,EFTA countries,Zemlje EFTA,Земље ЕФТА,2,1
TX_EU27,EU–27 countries,Zemlje EU–27,Земље ЕУ–27,2,1
TX_OTHCID,Other developing countries,Ostale zemlje u razvoju,Остале земље у развоју,2,1
TX_OTHDC,Other developed countries,Ostale razvijene zemlje,Остале развијене земље,2,1
TX_UNCLSS,Unclassified,Neraspoređeno,Нераспоређено,2,1
UKRINA,Ukrina River,Ukrina,Укрина,3,1
UNA,Una River,Una,Уна,3,1
UNK,Unknown,Nepoznato,Непознато,1,1
VAW_PHYSIC,Physical violence,Fizičko nasilje,Физичко насиље,4,2
VAW_PSYCH,Psychological violence,Psihološko nasilje,Психолошко насиље,2,1
VAW_SEX,Sexual violence,Seksualno nasilje,Сексуално насиље,4,2
VC_HTF_01,"Human trafficking, Article 145 of RS Criminal Law","Trgovina ljudima, član 145 KZ RS","Трговина људима, члан 145 КЗ РС",1,1
VC_HTF_02,"Human trafficking, Article 186 of BiH Criminal Law","Trgovina ljudima, član 186 KZ BiH","Трговина људима, члан 186 КЗ БиХ",1,1
VC_HTF_03,"Child trafficking, Article 146 of RS Criminal Law","Trgovina djecom, član 146 KZ RS","Трговина дјецом, члан 146 КЗ РС",1,1
VC_HTFET_01,Sexual exploitation,Seksualna eksploatacija,Сексуална експлоатација,1,1
VC_HTFET_02,Forced marriage,Prisilno zaključenje braka,Присилно закључење брака,1,1
VRBAS,Vrbas River,Vrbas,Врбас,3,1
