Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
_T,_T,_T,_T,2,1
AGG_AGR,Agriculture products,Poljoprivredni proizvodi,Пољопривредни производи,3,2
AGG_ARMS,Arms,Oružje,Оружје,3,2
AGG_CLTH,Clothing,Odjeća,Одјећа,3,2
AGG_IND,Industrial products,Industrijski proizvodi,Индустријски производи,3,2
AGG_OIL,Oil,Nafta ili ulje,Нафта или уље,3,2
AGG_TXT,Textiles,Tekstil,Текстил,3,2
ALP,No breakdown,Bez podjele,Без подјеле,7,3
BIM,Biomass,Biomasa,Биомаса,6,2
COL,Coal,Ugalj,Угаљ,6,2
CPR,Crop residues,Ostaci usjeva,Остаци усјева,6,2
CRO,Crops,Usjevi,Усјеви,6,2
FEO,Ferrous ores,Rude željeza,Руде жељеза,6,2
FOF,Fossil fuels,Fosilna goriva,Фосилна горива,6,2
GAS,Natural gas,Prirodni gas,Природни гас,6,2
GBO,Grazed biomass and fodder crops,Stočna hrana i krmno bilje,GBO,6,2
MEO,Metal ores,Metalne rude,Металне руде,6,2
MF2,MF2,MF2,MF2,1,1
NFO,Non-ferrous ores,Rude obojenih metala,Руде обојених метала,6,2
NMA,Non-metallic minerals - industrial or agricultural dominant,Nemetalni minerali - dominantni u industriji ili poljoprivredi,Неметални минерали - доминантни у индустрији или пољопривреди,6,2
NMC,Non-metallic minerals - construction dominant,Nemetalni minerali - dominantna gradnja,Неметални минерали - доминантна градња,6,2
NMM,Non-metallic minerals,Nemetalni minerali,Неметални минерали,6,2
ONT,Oil shale and tar sands,Uljni škriljci i katranski pijesak,Уљни шкриљци и катрански пиjесак,6,2
PET,Petroleum,Nafta,Нафта,6,2
WCH,Wild catch and harvest,Divlji ulov i žetva,Дивљи улов и жетва,6,2
WOD,Wood,Drvo,Дрво,6,2
