Value,en,lat,cir,Disaggregation combinations using this value,Number of indicators
DC_ODA_BDPE,Public expenditure on conservation and sustainable use of biodiversity and ecosystems,Javni rashodi za očuvanje i održivo korišćenje biodiverziteta i ekosistema,Јавни расходи за очување и одрживо коришћење биодиверзитета и екосистема,1,1
DC_TRF_TOTLDIS,Total foreign direct investment stocks as on 31 Dec,Ukupno stanje direktnih stranih ulaganja na dan 31.12.,Укупно стање директних страних улагања на дан 31.12.,1,1
DC_TRF_TOTLFDI,Total foreign direct investment flows,Ukupni tokovi direktnih stranih ulaganja,Укупни токови директних страних улагања,1,1
DI_SUSP_TRS,Value of suspicious transactions for money laundering and terrorist financing - banks of Republika Srpska,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske,Вриједност сумњивих трансакција на прање новца и финансирање терористичких активности - банке Републике Српске,2,1
EG_ACS_ELECHH,Percentage of households with access to electricity in main dwelling unit,Procenat domaćinstava sa pristupom električnoj energiji u glavnoj stambenoj jedinici,Проценат домаћинстава са приступом електричној енергији у главној стамбеној јединици,3,1
EN_H2O_WQBODS,Average annual values of biochemical oxygen demand in a river water (BOD5) - Sava River Basin (District) (g/m3),Prosječne godišnje vrijednosti biohemijske potrošnje kiseonika u rijekama  (BPK5)  - oblasni riječni sliv (distrikt) rijeke Save (g/m3),Просјечне годишње вриједности биохемијске потрошње кисеоника у ријекама (BPK5)  - обласни ријечни слив (дистрикт) ријеке Саве (g/m3),6,1
EN_H2O_WQBODT,Average annual values of biochemical oxygen demand in a river water (BOD5) - Trebišnjica River Basin (District) (g/m3),Prosječne godišnje vrijednosti biohemijske potrošnje kiseonika u rijekama  (BPK5)  - oblasni riječni sliv (distrikt) rijeke Trebišnjice (g/m3),Просјечне годишње вриједности биохемијске потрошње кисеоника у ријекама  (BPK5)  - обласни ријечни слив (дистрикт) ријеке Требишњице (g/m3),2,1
EN_H2O_WQNS,Average annual values of total nitrogen in a river water (total N) - Sava River Basin (District) (g/m3),Prosječne godišnje vrijednosti ukupnog azota u rijekama (ukupni N)  - oblasni riječni sliv (distrikt) rijeke Save (g/m3),Просјечне годишње вриједности укупног азота у ријекама  (укупни N) - обласни ријечни слив (дистрикт) ријеке Саве (g/m3),6,1
EN_H2O_WQNT,Average annual values of total nitrogen in a river water (total N) - Trebišnjica River Basin (District) (g/m3),Prosječne godišnje vrijednosti ukupnog azota u rijekama (ukupni N)  - oblasni riječni sliv (distrikt) rijeke Trebišnjice (g/m3),Просјечне годишње вриједности укупног азота у ријекама  (укупни N) - обласни ријечни слив (дистрикт) ријеке Требишњице (g/m3),2,1
EN_H2O_WQPS,Average annual values of total phosphorus in a river water (total P) - Sava River Basin (District) (g/m3),Prosječne godišnje vrijednosti ukupnog fosfora u rijekama (ukupni P)  - oblasni riječni sliv (distrikt) rijeke Save (g/m3),Просјечне годишње вриједности укупног фосфора у ријекама  (укупни P) - обласни ријечни слив (дистрикт) ријеке Саве (g/m3),6,1
